PRODUTOS_ORG
2406901
2407101
2407102
2407301
2407501
2407601
2407701
2407702
2407703
2407704
2407705
2407706
2409001
6303701
6303702
6303801
6303802
6303803
6303804
6303805
6303806
6303807
6303808
6303809
6303810
6303811
6303812
6303901
6303902
6303903
6303904
6303905
6303906
6303907
6303908
6303909
6303910
6303911
6303912
6303913
6304001
6304002
6304003
6304004
6304005
6304006
6304007
6304008
6304009
6304010
6304011
6304012
6304013
6304014
6304015
6304016
6304017
6304018
6304019
6304020
6304021
6304022
6304023
6304024
6304025
6304026
6304027
6304028
6304029
6304030
6304031
6304032
6304033
6304034
6304035
6304101
6304102
6304301
6304302
6304303
6304304
6304305
6304306
6304307
6304308
6304309
6304310
6304311
6304312
6304313
6304314
6304315
6304401
6304402
6304403
6304404
6304501
6305101
6401801
6401802
6401803
6401804
6401805
6401806
6401807
6401808
6401809
6401901
6401902
6401903
6402001
6402201
6402301
6402401
6402501
6402601
6506401
6506402
6506403
6507601
6510001
6602901
6707701
6707702
6707703
6707704
6707705
6707706
6707707
6707708
6707709
6707710
6707711
6707712
6707801
6707802
6707803
6707804
6707805
6707806
6707807
6707808
6707809
6707810
6707811
6707812
6707901
6707902
6707903
6707904
6707905
6707906
6707907
6708001
6708002
6708003
6708101
6708201
6708401
6708601
6709001
6709101
6709801
6710301
6710401
6710501
6710601
6711001
6711101
6711201
6711301
6711401
6711501
6711601
6711701
6711801
6711901
6712001
6712101
6712201
6713001
6714201
6808501
6808502
6808503
6808504
6808505
6808506
6808507
6808508
6808509
6808510
6808511
6808512
6808513
6808514
6808601
6808602
6808603
6808604
6808605
6808606
6808607
6808608
6808609
6808610
6808611
6808701
6808801
6808802
6808901
6809001
6809101
6809201
6809601
6809801
6810101
6810301
6810401
6810501
6810601
6810701
6810801
6811601
6908601
6908602
6908701
6908702
6908703
6908801
6908802
6908803
6908804
6908805
6908806
6908901
6908902
6908903
6909001
6909002
6909003
6909004
6909005
6909006
6909007
6909101
7012701
7014601
7014701
7014901
7111301
7111302
7111303
7111304
7111401
7111402
7111403
7111404
7111405
7111406
7111407
7111501
7111502
7111503
7111504
7111505
7111506
7111507
7111508
7111509
7111601
7111602
7111603
7111701
7111702
7111703
7111704
7111801
7111802
7111803
7111804
7111805
7111806
7111807
7111808
7111901
7111902
7111903
7111904
7111905
7111906
7111907
7112001
7112002
7114201
7805501
7805502
7805503
7805504
7805601
7805602
7805603
7805604
7805605
7805606
7805607
7805608
7805701
7805702
7805703
7805704
7805801
7805802
7805803
7805804
7805805
7805806
7805901
7805902
7805903
7805904
7805905
7806401
7806501
7904301
7904302
7904303
7904304
7904305
7904306
7904307
7904308
7904309
7904310
7904311
7904401
7904402
7904403
7904501
7904502
7904503
7904601
7904602
7904603
7904701
7904801
7904802
7904803
7904804
7904805
7904901
7905001
7905002
7907301
7907302
7907303
7907304
7907305
7907306
7907307
7907308
7907309
7907310
7907311
7907401
7912301
8011801
8015201
8210101
8210102
8210201
8210202
8210203
8210204
8210301
8210302
8210401
8210402
8210501
8210601
8210602
8210701
8210702
8210801
8210901
8213001
8213002
8213003
8213004
8218201
8218301
8303601
8303602
8303603
8303604
8303605
8303606
8303607
8303608
8303609
8303610
8303611
8303612
8303613
8303614
8303615
8303616
8303617
8303701
8303702
8303703
8303704
8303801
8303802
8303803
8303901
8303902
8304001
8304101
8304201
8404401
8507901
8507902
8507903
8507904
8507905
8507906
8507907
8507908
8507909
8507910
8507911
8507912
8507913
8507914
8507915
8507916
8507917
8507918
9000925
